Date Time,Date Time(RAW),Traffic Total (volume),Traffic Total (volume)(RAW),Traffic Total (speed),Traffic Total (speed)(RAW),Traffic In (volume),Traffic In (volume)(RAW),Traffic In (speed),Traffic In (speed)(RAW),Traffic Out (volume),Traffic Out (volume)(RAW),Traffic Out (speed),Traffic Out (speed)(RAW),Downtime,Downtime(RAW),Coverage,Coverage(RAW)
3/1/2025 12:00:00 AM - 1:00:00 AM,45716.95833,"331,414,316 KByte",3.39E+11,"752,542 kbit/s",94067760.37,"34,990,821 KByte",35830600779,"79,454 kbit/s",9931701.854,"296,423,494 KByte",3.04E+11,"673,088 kbit/s",84136058.51,0%,0,100%,10000
3/1/2025 1:00:00 AM - 2:00:00 AM,45717,"309,228,336 KByte",3.17E+11,"703,723 kbit/s",87965368.47,"33,772,629 KByte",34583171983,"76,858 kbit/s",9607210.576,"275,455,708 KByte",2.82E+11,"626,865 kbit/s",78358157.9,0%,0,100%,9999
3/1/2025 2:00:00 AM - 3:00:00 AM,45717.04167,"274,829,321 KByte",2.81E+11,"625,443 kbit/s",78180405.69,"29,956,768 KByte",30675730815,"68,174 kbit/s",8521770.157,"244,872,552 KByte",2.51E+11,"557,269 kbit/s",69658635.54,0%,0,100%,9999
3/1/2025 3:00:00 AM - 4:00:00 AM,45717.08333,"219,381,312 KByte",2.25E+11,"499,257 kbit/s",62407169.45,"23,546,502 KByte",24111617711,"53,586 kbit/s",6698248.38,"195,834,811 KByte",2.01E+11,"445,671 kbit/s",55708921.07,0%,0,100%,9999
3/1/2025 4:00:00 AM - 5:00:00 AM,45717.125,"169,163,809 KByte",1.73E+11,"384,971 kbit/s",48121314.89,"22,602,400 KByte",23144857482,"51,437 kbit/s",6429609.299,"146,561,410 KByte",1.50E+11,"333,534 kbit/s",41691705.6,0%,0,100%,9999
3/1/2025 5:00:00 AM - 6:00:00 AM,45717.16667,"157,778,464 KByte",1.62E+11,"359,059 kbit/s",44882324.31,"19,857,723 KByte",20334308616,"45,190 kbit/s",5648811.339,"137,920,741 KByte",1.41E+11,"313,868 kbit/s",39233512.98,0%,0,100%,9999
3/1/2025 6:00:00 AM - 7:00:00 AM,45717.20833,"137,059,500 KByte",1.40E+11,"311,912 kbit/s",38989062.37,"17,890,720 KByte",18320097285,"40,715 kbit/s",5089340.024,"119,168,780 KByte",1.22E+11,"271,198 kbit/s",33899722.35,0%,0,100%,9999
3/1/2025 7:00:00 AM - 8:00:00 AM,45717.25,"135,938,222 KByte",1.39E+11,"309,359 kbit/s",38669879.82,"17,038,555 KByte",17447479849,"38,775 kbit/s",4846899.161,"118,899,668 KByte",1.22E+11,"270,584 kbit/s",33822980.66,0%,0,100%,9999
3/1/2025 8:00:00 AM - 9:00:00 AM,45717.29167,"153,825,458 KByte",1.58E+11,"350,063 kbit/s",43757835.71,"18,249,082 KByte",18687059991,"41,530 kbit/s",5191210.498,"135,576,376 KByte",1.39E+11,"308,533 kbit/s",38566625.22,0%,0,100%,9999
3/1/2025 9:00:00 AM - 10:00:00 AM,45717.33333,"202,385,093 KByte",2.07E+11,"460,574 kbit/s",57571793.16,"21,198,795 KByte",21707565646,"48,243 kbit/s",6030348.373,"181,186,298 KByte",1.86E+11,"412,332 kbit/s",51541444.79,0%,0,100%,9999
3/1/2025 10:00:00 AM - 11:00:00 AM,45717.375,"254,690,824 KByte",2.61E+11,"579,605 kbit/s",72450622.4,"23,610,103 KByte",24176745175,"53,730 kbit/s",6716247.611,"231,080,721 KByte",2.37E+11,"525,875 kbit/s",65734374.78,0%,0,100%,9999
3/1/2025 11:00:00 AM - 12:00:00 PM,45717.41667,"278,480,992 KByte",2.85E+11,"633,746 kbit/s",79218312.33,"26,172,650 KByte",26800793827,"59,562 kbit/s",7445223.344,"252,308,341 KByte",2.58E+11,"574,185 kbit/s",71773088.98,0%,0,100%,9999
3/1/2025 12:00:00 PM - 1:00:00 PM,45717.45833,"291,796,550 KByte",2.99E+11,"664,047 kbit/s",83005902.53,"29,494,746 KByte",30202620196,"67,122 kbit/s",8390222.682,"262,301,804 KByte",2.69E+11,"596,925 kbit/s",74615679.85,0%,0,100%,9999
3/1/2025 1:00:00 PM - 2:00:00 PM,45717.5,"219,068,345 KByte",2.24E+11,"498,540 kbit/s",62317447.55,"24,523,135 KByte",25111690601,"55,808 kbit/s",6975992.811,"194,545,210 KByte",1.99E+11,"442,732 kbit/s",55341454.74,0%,0,100%,9999
3/1/2025 2:00:00 PM - 3:00:00 PM,45717.54167,"223,533,720 KByte",2.29E+11,"508,699 kbit/s",63587340.64,"24,064,105 KByte",24641643567,"54,763 kbit/s",6845376.364,"199,469,615 KByte",2.04E+11,"453,936 kbit/s",56741964.27,0%,0,100%,9999
3/1/2025 3:00:00 PM - 4:00:00 PM,45717.58333,"284,307,126 KByte",2.91E+11,"646,998 kbit/s",80874749.56,"29,025,129 KByte",29721732595,"66,053 kbit/s",8256564.335,"255,281,997 KByte",2.61E+11,"580,945 kbit/s",72618185.22,0%,0,100%,9999
3/1/2025 4:00:00 PM - 5:00:00 PM,45717.625,"240,423,277 KByte",2.46E+11,"547,142 kbit/s",68392764.98,"25,442,294 KByte",26052909532,"57,900 kbit/s",7237522.441,"214,980,983 KByte",2.20E+11,"489,242 kbit/s",61155242.54,0%,0,100%,9999
3/1/2025 5:00:00 PM - 6:00:00 PM,45717.66667,"187,844,180 KByte",1.92E+11,"427,477 kbit/s",53434647.19,"22,111,045 KByte",22641710046,"50,318 kbit/s",6289765.748,"165,733,135 KByte",1.70E+11,"377,159 kbit/s",47144881.45,0%,0,100%,9999
3/1/2025 6:00:00 PM - 7:00:00 PM,45717.70833,"225,574,668 KByte",2.31E+11,"513,343 kbit/s",64167917.2,"24,673,748 KByte",25265918324,"56,150 kbit/s",7018798.062,"200,900,920 KByte",2.06E+11,"457,193 kbit/s",57149119.14,0%,0,100%,9999
